seqnames	start	end	width	strand	transcript_id	gene_name
chr1	16688455	16688456	1	+	NM_001159711.1	Ly96
chr1	17097968	17097969	1	+	XR_001778833.1	LOC108167615
chr1	17120596	17120597	1	+	XR_373222.2	Gm28783
chr1	17145372	17145373	1	+	NM_010267.3	Gdap1
chr1	17168401	17168402	1	+	XR_373225.2	Gm28784
chr1	17202969	17202970	1	+	XR_865206.1	Gm39597
chr1	17601900	17601901	1	+	NM_053191.2	Pi15
chr1	17727028	17727029	1	+	XM_006495592.3	Crispld1
chr1	19103021	19103022	1	+	NM_153154.2	Tfap2d
chr1	19208913	19208914	1	+	NM_001286340.1	Tfap2b
chr1	19606088	19606089	1	+	XR_373234.2	Gm32651
chr1	20356453	20356454	1	+	NR_045734.1	4930486I03Rik
chr1	20669881	20669882	1	+	NR_131249.1	Linc-md1
chr1	20679009	20679010	1	+	NR_029593.1	Mir206
chr1	20682768	20682769	1	+	NR_029902.1	Mir133b
chr1	20730904	20730905	1	+	NM_010552.3	Il17a
chr1	20890621	20890622	1	+	NM_028829.3	Paqr8
chr1	20951549	20951550	1	+	XM_006495576.3	Efhc1
chr1	21166435	21166436	1	+	XM_006495579.2	Tmem14a
chr1	21240584	21240585	1	+	NM_010356.4	Gsta3
chr1	21349676	21349677	1	+	NM_183322.2	Khdc1a
chr1	21368330	21368331	1	+	NM_001033904.1	Khdc1c
chr1	21383555	21383556	1	+	NM_001113187.1	Khdc1b
chr1	22898386	22898387	1	+	XR_373273.1	Gm7759
chr1	23123988	23123989	1	+	XR_373275.2	Gm30442
chr1	23272268	23272269	1	+	NR_029533.1	Mir30a
chr1	23291700	23291701	1	+	NR_029717.1	Mir30c-2
chr1	23574442	23574443	1	+	XR_001779773.1	Gm28822
chr1	23761925	23761926	1	+	NM_172124.2	B3gat2
chr1	23978190	23978191	1	+	XR_865295.1	Gm26524
chr1	24177588	24177589	1	+	XM_006495649.3	Col9a1
chr1	24678041	24678042	1	+	XM_017322292.1	Lmbrd1
chr1	25830418	25830419	1	+	XR_001779915.1	LOC108167844
chr1	25879167	25879168	1	+	XR_865299.1	Gm39614
chr1	26619657	26619658	1	+	XR_001778846.1	Gm31136
chr1	27884013	27884014	1	+	XR_104583.3	Gm5524
chr1	29421487	29421488	1	+	NR_105760.1	Mir6342
chr1	30502304	30502305	1	+	XR_373284.2	Gm31581
chr1	31019095	31019096	1	+	XR_373288.2	Gm28644
chr1	31176434	31176435	1	+	NM_153601.1	Lgsn
chr1	31222838	31222839	1	+	NM_029062.2	Pih1d3
chr1	31264846	31264847	1	+	NR_015347.1	Gm4850
chr1	32172686	32172687	1	+	XR_373242.3	Khdrbs2
chr1	32738534	32738535	1	+	XR_001779816.1	LOC108167822
chr1	33522520	33522521	1	+	XR_865318.2	Gm39618
chr1	33669823	33669824	1	+	NR_033199.1	1700001G17Rik
chr1	33719887	33719888	1	+	XM_006495802.3	Rab23
chr1	33908212	33908213	1	+	XM_017314722.1	Dst
chr1	34117358	34117359	1	+	NR_105861.1	Mir6896
chr1	34439828	34439829	1	+	NM_178601.3	Imp4
chr1	34459745	34459746	1	+	NM_011206.2	Ptpn18
chr1	34474786	34474787	1	+	XR_865328.1	Gm32566
chr1	34498429	34498430	1	+	NM_009355.2	Prss39
chr1	34535647	34535648	1	+	NM_007685.2	Cfc1
chr1	34578931	34578932	1	+	XM_006495820.2	Amer3
chr1	34801721	34801722	1	+	NM_183019.2	Arhgef4
chr1	34849940	34849941	1	+	XM_017320232.1	Plekhb2
chr1	35869594	35869595	1	+	XR_373311.3	1110002O04Rik
chr1	35942012	35942013	1	+	XR_373313.3	Gm33176
chr1	35959998	35959999	1	+	XR_865337.1	Gm39622
chr1	36016794	36016795	1	+	XR_865339.1	Gm39623
chr1	36068399	36068400	1	+	NM_015818.2	Hs6st1
chr1	36129865	36129866	1	+	XR_001778865.1	Gm33280
chr1	36244382	36244383	1	+	XR_865343.2	Gm39625
chr1	36307732	36307733	1	+	NM_001290727.1	Arid5a
chr1	36372182	36372183	1	+	XM_017319843.1	Fer1l5
chr1	36461977	36461978	1	+	XR_373316.2	Gm33401
chr1	36471596	36471597	1	+	NM_033570.2	Cnnm4
chr1	36511853	36511854	1	+	XM_006496356.3	Cnnm3
chr1	36691486	36691487	1	+	NM_009942.2	Cox5b
chr1	36714537	36714538	1	+	NR_040290.1	4933424G06Rik
chr1	36761797	36761798	1	+	NM_009539.3	Zap70
chr1	37028811	37028812	1	+	XM_006496382.1	Vwa3b
chr1	37218240	37218241	1	+	XM_017313748.1	Cnga3
chr1	37299837	37299838	1	+	NM_001290797.1	Inpp4a
chr1	37430138	37430139	1	+	XM_006496222.3	Unc50
chr1	37614506	37614507	1	+	XR_373329.1	LOC102637491
chr1	37653240	37653241	1	+	XR_373326.3	LOC102637336
chr1	37684599	37684600	1	+	XR_865356.2	Gm39628
chr1	37868512	37868513	1	+	XM_006496175.3	Lipt1
chr1	37890470	37890471	1	+	XM_006495612.2	Mrpl30
chr1	37998009	37998010	1	+	NM_198303.2	Eif5b
chr1	38144022	38144023	1	+	XR_001778886.1	Gm5099
chr1	38232301	38232302	1	+	XR_001778895.1	Gm16150
chr1	38472196	38472197	1	+	XR_001778889.1	LOC108167619
chr1	38630666	38630667	1	+	XR_373336.2	Gm34596
chr1	38939148	38939149	1	+	NM_001311788.1	Nms
chr1	38980805	38980806	1	+	XR_373345.2	Gm35171
chr1	38987813	38987814	1	+	NM_026850.4	Pdcl3
chr1	39193714	39193715	1	+	XM_011238452.2	Npas2
chr1	39367850	39367851	1	+	NM_053257.3	Rpl31
chr1	39535801	39535802	1	+	NM_028043.2	Cnot11
chr1	39650105	39650106	1	+	XR_865365.2	D930019O06Rik
chr1	39852436	39852437	1	+	XR_373350.1	Gm35600
chr1	39900911	39900912	1	+	XR_001784730.1	Map4k4
chr1	40083307	40083308	1	+	XM_017317722.1	Il1r2
chr1	40149099	40149100	1	+	XR_373353.2	Gm35741
chr1	40225013	40225014	1	+	XM_006495722.2	Il1r1
chr1	40324437	40324438	1	+	XM_006495608.3	Il1rl2
chr1	40404863	40404864	1	+	XM_006495744.2	Il1rl1
chr1	40465551	40465552	1	+	NM_001161842.1	Il18r1
chr1	40515361	40515362	1	+	NM_010553.4	Il18rap
chr1	40579712	40579713	1	+	XM_006495626.3	Slc9a4
chr1	40681711	40681712	1	+	NM_001033289.2	Slc9a2
chr1	40770323	40770324	1	+	XR_865367.1	Gm37915
chr1	40805572	40805573	1	+	XM_017321461.1	Tmem182
chr1	41743021	41743022	1	+	XR_373362.3	Gm29260
chr1	42257851	42257852	1	+	XR_865383.2	Gm28175
chr1	42682364	42682365	1	+	XR_001778908.1	Gm42411
chr1	42697145	42697146	1	+	NM_008900.2	Pou3f3
chr1	42700335	42700336	1	+	NR_027891.1	2900092D14Rik
chr1	42738846	42738847	1	+	XR_001778911.1	LOC108167622
chr1	42750711	42750712	1	+	NR_130904.1	Dalir
chr1	42762306	42762307	1	+	XR_001778912.1	LOC108167623
chr1	42851232	42851233	1	+	NM_023514.4	Mrps9
chr1	42952871	42952872	1	+	NM_053107.4	Gpr45
chr1	43056055	43056056	1	+	XR_865397.1	Gm28782
chr1	43092279	43092280	1	+	XM_017313069.1	LOC108167597
chr1	43098709	43098710	1	+	NM_133818.1	AI597479
chr1	43189056	43189057	1	+	XM_985134.6	Gm8210
chr1	43445750	43445751	1	+	NM_010879.3	Nck2
chr1	43680425	43680426	1	+	XR_865403.1	Gm38628
chr1	43714282	43714283	1	+	XR_373386.2	Gm30634
chr1	43730601	43730602	1	+	NM_024283.3	1500015O10Rik
chr1	43887979	43887980	1	+	XR_373388.3	LOC102632770
chr1	43933864	43933865	1	+	XR_001784011.1	Tpp2
chr1	44118961	44118962	1	+	XM_006495998.3	Bivm
chr1	44146980	44146981	1	+	XM_006495890.2	Ercc5
chr1	44392829	44392830	1	+	XR_865404.2	Gm28893
chr1	44551496	44551497	1	+	XM_006496278.3	Gulp1
chr1	45311537	45311538	1	+	NM_009930.2	Col3a1
chr1	45795152	45795153	1	+	XM_006496307.3	Wdr75
chr1	46065793	46065794	1	+	XM_011238490.2	Dnah7b
chr1	46424244	46424245	1	+	XM_011238631.2	Dnah7c
chr1	47251862	47251863	1	+	XR_865414.2	Gm39638
chr1	47433523	47433524	1	+	XR_865415.1	Gm39639
chr1	49244615	49244616	1	+	XR_104575.1	C230029F24Rik
chr1	50812474	50812475	1	+	XR_373393.1	Gm28321
chr1	50900541	50900542	1	+	XR_001778913.1	LOC108167624
chr1	50927522	50927523	1	+	NM_019790.4	Tmeff2
chr1	51289125	51289126	1	+	NM_138741.1	Sdpr
chr1	51622473	51622474	1	+	XR_373395.1	Gm31636
chr1	51916286	51916287	1	+	XR_001778914.1	Gm33795
chr1	51987105	51987106	1	+	XM_006495815.2	Stat4
chr1	52119437	52119438	1	+	NM_001205314.1	Stat1
chr1	52305614	52305615	1	+	XR_373401.2	Gm31955
chr1	52504494	52504495	1	+	XR_373402.2	Gm553
chr1	52568534	52568535	1	+	XM_006495937.2	Tmem194b
chr1	52845037	52845038	1	+	NM_146108.2	Hibch
chr1	53061639	53061640	1	+	NM_010834.3	Mstn
chr1	53297094	53297095	1	+	NM_145517.4	Ormdl1
chr1	53312891	53312892	1	+	XR_373262.3	Osgepl1
chr1	53704476	53704477	1	+	XR_373404.2	Gm32311
chr1	53849423	53849424	1	+	NR_106149.1	Mir7681
chr1	54250660	54250661	1	+	XM_017312920.1	Ccdc150
chr1	54681197	54681198	1	+	XR_865425.1	4930444A19Rik
chr1	55052769	55052770	1	+	NM_026424.3	Coq10b
chr1	55088147	55088148	1	+	NM_008303.4	Hspe1
chr1	55131244	55131245	1	+	NM_001310585.1	Mob4
chr1	55226660	55226661	1	+	XR_001778921.1	Gm10561
chr1	55237176	55237177	1	+	NM_175439.3	Mars2
chr1	55405945	55405946	1	+	NM_001114663.1	Plcl1
chr1	55888971	55888972	1	+	XR_373419.3	Gm32949
chr1	55931240	55931241	1	+	NR_045837.1	9130227L01Rik
chr1	56018977	56018978	1	+	NR_126076.1	1700003I22Rik
chr1	56971468	56971469	1	+	NR_024326.1	9130024F11Rik
chr1	57002503	57002504	1	+	XR_373424.3	Gm38484
chr1	57127308	57127309	1	+	XR_865434.1	LOC105243927
chr1	57377594	57377595	1	+	XR_001778329.1	1700066M21Rik
chr1	57406547	57406548	1	+	NM_001081181.2	9430016H08Rik
chr1	57774161	57774162	1	+	XM_006496212.3	Spats2l
chr1	57985339	57985340	1	+	NM_001177867.1	Sgol2a
chr1	58029805	58029806	1	+	XM_006495630.3	Aox1
chr1	58113134	58113135	1	+	XM_006496285.3	Aox3
chr1	58210396	58210397	1	+	NM_023631.2	Aox4
chr1	58278325	58278326	1	+	NM_001008419.2	Aox2
chr1	58393135	58393136	1	+	NM_025824.3	Bzw1
chr1	58445155	58445156	1	+	XM_006496185.1	Nif3l1
chr1	58505134	58505135	1	+	XR_865441.2	Gm15834
chr1	58586396	58586397	1	+	NM_025597.3	Ndufb3
chr1	58652640	58652641	1	+	NR_045007.1	Gm20257
chr1	58711306	58711307	1	+	XM_011238421.2	Cflar
chr1	58795227	58795228	1	+	XM_006495634.3	Casp8
chr1	58973526	58973527	1	+	XR_373251.2	Stradb
chr1	59035933	59035934	1	+	XR_865449.1	Gm29018
chr1	59237377	59237378	1	+	XR_373428.1	Gm33667
chr1	59256860	59256861	1	+	XR_373255.3	Cdk15
chr1	59482146	59482147	1	+	NM_008057.3	Fzd7
chr1	59516263	59516264	1	+	NM_001013771.2	Gm973
chr1	59684950	59684951	1	+	XM_006496149.2	Nop58
chr1	59691957	59691958	1	+	NR_028554.1	Snord70
chr1	59704807	59704808	1	+	NR_028521.1	Snord11
chr1	59764269	59764270	1	+	XM_006495633.1	Bmpr2
chr1	59913005	59913006	1	+	NM_001037725.3	Fam117b
chr1	60098220	60098221	1	+	XM_006495977.2	Carf
chr1	60178624	60178625	1	+	XM_006496030.3	Nbeal1
chr1	60343299	60343300	1	+	NM_001313721.1	Cyp20a1
chr1	60408997	60408998	1	+	XM_017321246.1	Abi2
chr1	60746387	60746388	1	+	NM_007642.4	Cd28
chr1	60778460	60778461	1	+	XR_865459.1	2310016D23Rik
chr1	60860957	60860958	1	+	XR_865463.1	Gm38137
chr1	60887088	60887089	1	+	XR_865460.2	Gm39650
chr1	60909024	60909025	1	+	NM_001281976.1	Ctla4
chr1	60921231	60921232	1	+	XR_373438.2	Gm34649
chr1	60960772	60960773	1	+	XM_006496139.1	Icos
chr1	61306980	61306981	1	+	XR_865473.1	LOC105243939
chr1	61378431	61378432	1	+	NR_040483.1	9530026F06Rik
chr1	61638666	61638667	1	+	XM_011238602.2	Pard3b
chr1	62703316	62703317	1	+	NM_001077407.1	Nrp2
chr1	62836857	62836858	1	+	XR_373447.3	Gm35120
chr1	63114470	63114471	1	+	NR_045915.1	Ino80dos
chr1	63176830	63176831	1	+	NM_018796.3	Eef1b2
chr1	63179022	63179023	1	+	NR_028558.1	Snora41
chr1	63200357	63200358	1	+	NM_001285937.1	Zdbf2
chr1	63445881	63445882	1	+	XM_006495969.3	Adam23
chr1	63615597	63615598	1	+	XM_011238638.1	Gm39653
chr1	63730598	63730599	1	+	XM_006496313.2	Fastkd2
chr1	63851920	63851921	1	+	XM_017313106.1	Cpo
chr1	63964726	63964727	1	+	NR_027824.1	Gm13749
chr1	64121534	64121535	1	+	XR_373464.3	Gm35880
chr1	64279350	64279351	1	+	XR_373463.1	Gm35803
chr1	64516796	64516797	1	+	XR_865486.1	Gm36148
chr1	64532314	64532315	1	+	XM_006495653.3	Creb1
chr1	64649477	64649478	1	+	XR_001778944.1	Gm29152
chr1	64691040	64691041	1	+	XM_011238499.2	Ccnyl1
chr1	65110865	65110866	1	+	XR_373470.3	Gm36358
chr1	65186637	65186638	1	+	XM_011238454.2	Pikfyve
chr1	65280281	65280282	1	+	XM_011238473.1	Pth2r
chr1	65926521	65926522	1	+	NM_027010.2	Crygf
chr1	66175245	66175246	1	+	XM_006495753.2	Map2
chr1	66468295	66468296	1	+	XM_017321275.1	Unc80
chr1	66700811	66700812	1	+	XM_006496188.3	Rpe
chr1	66738219	66738220	1	+	XR_001778948.1	LOC108167626
chr1	66779632	66779633	1	+	XR_865492.2	Gm39656
chr1	67122425	67122426	1	+	XM_011238500.1	Cps1
chr1	67792456	67792457	1	+	XR_865495.1	Gm15669
chr1	69431134	69431135	1	+	XR_001778953.1	Gm28497
chr1	69826871	69826872	1	+	XM_006496194.2	Spag16
chr1	70725220	70725221	1	+	XR_373257.3	Vwc2l
chr1	71327289	71327290	1	+	XR_865506.1	Gm39659
chr1	71557155	71557156	1	+	NM_026195.3	Atic
chr1	71653334	71653335	1	+	NR_040308.1	Apol7d
chr1	71672697	71672698	1	+	XR_001778957.1	LOC108167627
chr1	71728539	71728540	1	+	XR_001778959.1	Gm30160
chr1	71813562	71813563	1	+	XR_373489.3	Gm30308
chr1	71823323	71823324	1	+	XR_001778963.1	LOC108167354
chr1	71888111	71888112	1	+	NR_027659.1	Gm8883
chr1	72236010	72236011	1	+	XR_865523.2	D230017M19Rik
chr1	72284361	72284362	1	+	XM_006496051.1	Tmem169
chr1	72307416	72307417	1	+	XM_006495892.2	Xrcc5
chr1	72413064	72413065	1	+	XR_865525.1	Gm39661
chr1	72536690	72536691	1	+	XM_006496141.3	Smarcal1
chr1	72640225	72640226	1	+	XR_865526.2	Gm39662
chr1	72711259	72711260	1	+	NM_009084.4	Rpl37a
chr1	72768471	72768472	1	+	XR_001778981.1	Gm30847
chr1	72824479	72824480	1	+	NM_008342.3	Igfbp2
chr1	72939070	72939071	1	+	XR_001778985.1	Gm31047
chr1	72984847	72984848	1	+	XR_373508.3	Gm31137
chr1	73016035	73016036	1	+	NR_038001.1	1700027A15Rik
chr1	73140252	73140253	1	+	XR_865539.2	Gm29185
chr1	73140730	73140731	1	+	XR_373509.2	Gm31197
chr1	73361285	73361286	1	+	XR_865542.1	Gm31344
chr1	73398967	73398968	1	+	NR_040605.1	D530049I02Rik
chr1	74030950	74030951	1	+	XR_865545.2	Gm39664
chr1	74095283	74095284	1	+	XR_373518.2	Gm31637
chr1	74124617	74124618	1	+	XM_006496130.1	Rufy4
chr1	74153993	74153994	1	+	NM_009909.3	Cxcr2
chr1	74236504	74236505	1	+	XM_006496317.2	Arpc2
chr1	74278599	74278600	1	+	NM_174985.1	Gpbar1
chr1	74281370	74281371	1	+	XR_001779004.1	LOC108167628
chr1	74284598	74284599	1	+	XM_006496167.3	Pnkd
chr1	74362107	74362108	1	+	NM_001033345.2	Catip
chr1	74375013	74375014	1	+	XM_006495773.2	Slc11a1
chr1	74391608	74391609	1	+	NM_153088.2	Ctdsp1
chr1	74394309	74394310	1	+	NR_029743.1	Mir26b
chr1	74409383	74409384	1	+	NM_009509.2	Vil1
chr1	74506039	74506040	1	+	XM_006496171.2	Cnot9
chr1	74541790	74541791	1	+	XM_006495787.3	Plcd4
chr1	74588288	74588289	1	+	NM_001305652.1	Bcs1l
chr1	74601449	74601450	1	+	XM_006496039.1	Stk36
chr1	74661644	74661645	1	+	XM_006496225.2	Ttll4
chr1	74713145	74713146	1	+	XM_006495607.2	Cyp27a1
chr1	74754341	74754342	1	+	XM_006495888.3	Wnt6
chr1	74792018	74792019	1	+	NM_009518.2	Wnt10a
chr1	74849741	74849742	1	+	XR_373534.2	Gm16582
chr1	74855028	74855029	1	+	NM_009872.3	Cdk5r2
chr1	75142785	75142786	1	+	NM_001305231.1	Fam134a
chr1	75168645	75168646	1	+	NM_001159906.1	Zfand2b
chr1	75192159	75192160	1	+	NR_051999.1	Ankzf1
chr1	75210828	75210829	1	+	NM_001277992.1	Stk16
chr1	75236402	75236403	1	+	XM_006496511.1	Dnajb2
chr1	75360291	75360292	1	+	NM_010043.2	Des
chr1	75375296	75375297	1	+	NM_007463.4	Speg
chr1	75435910	75435911	1	+	XM_006496532.2	Gmppa
chr1	75450509	75450510	1	+	NM_183022.3	Asic4
chr1	75479531	75479532	1	+	NM_177056.4	Tmem198
chr1	75507076	75507077	1	+	NM_010564.4	Inha
chr1	75521528	75521529	1	+	NM_027886.3	Stk11ip
chr1	75545913	75545914	1	+	XM_006496452.3	Slc4a3
chr1	75936718	75936719	1	+	XR_865555.2	Gm32622
chr1	76094980	76094981	1	+	XR_373554.2	Gm32737
chr1	76489132	76489133	1	+	NR_038013.1	Gm17751
chr1	76509559	76509560	1	+	NR_105761.1	Mir6343
chr1	77522189	77522190	1	+	XR_865558.1	Gm32793
chr1	77604422	77604423	1	+	XR_373560.2	Gm32974
chr1	77813642	77813643	1	+	XR_373561.2	Gm33030
chr1	78199983	78199984	1	+	XR_373564.3	Gm33152
chr1	78310043	78310044	1	+	XM_017321596.1	Sgpp2
chr1	78511059	78511060	1	+	NM_026713.3	Mogat1
chr1	78615466	78615467	1	+	XR_001779009.1	LOC108167629
chr1	78657824	78657825	1	+	NM_001001981.3	Utp14b
chr1	78657824	78657825	1	+	NM_001136222.1	Acsl3
chr1	78719983	78719984	1	+	XR_865568.1	Gm38631
chr1	78816948	78816949	1	+	NM_021342.1	Kcne4
chr1	79776017	79776018	1	+	NM_001081210.1	Mrpl44
chr1	79787923	79787924	1	+	XR_865569.2	Gm39666
chr1	80207988	80207989	1	+	XR_373578.2	2310015K22Rik
chr1	80236351	80236352	1	+	XR_373579.2	Gm34098
chr1	80340912	80340913	1	+	XR_865570.2	Gm39667
chr1	80428169	80428170	1	+	XR_865572.1	Gm38673
chr1	80445931	80445932	1	+	NR_040460.1	1700016L21Rik
chr1	81076557	81076558	1	+	XM_006496485.3	Nyap2
chr1	82131915	82131916	1	+	NR_105762.1	Mir6344
chr1	82316456	82316457	1	+	XM_011238714.2	Rhbdd1
chr1	82586920	82586921	1	+	NM_007734.2	Col4a3
chr1	82724889	82724890	1	+	NM_001310699.1	Mff
chr1	82741982	82741983	1	+	XR_865575.2	Gm39668
chr1	82808980	82808981	1	+	XR_001779016.1	Gm34286
chr1	82824278	82824279	1	+	XR_865579.2	Gm34450
chr1	82839459	82839460	1	+	NM_001310713.1	Agfg1
chr1	83060929	83060930	1	+	NM_027778.2	Krtap28-13
chr1	83116765	83116766	1	+	NM_001159738.1	Ccl20
chr1	83159741	83159742	1	+	XM_006496550.3	Daw1
chr1	84695838	84695839	1	+	NR_039588.1	Mir5126
chr1	84839840	84839841	1	+	NM_025386.3	Fbxo36
chr1	84935271	84935272	1	+	XR_865590.1	Gm39669
chr1	84958593	84958594	1	+	XM_003084455.5	Gm15433
chr1	85106660	85106661	1	+	XR_001778792.1	A530040E14Rik
chr1	85171031	85171032	1	+	XM_017313632.1	LOC102638435
chr1	85199591	85199592	1	+	XM_006496524.3	Gm7609
chr1	85326364	85326365	1	+	XM_017313618.1	LOC101055758
chr1	85497654	85497655	1	+	XM_017313118.1	Gm2427
chr1	85600702	85600703	1	+	NM_001013817.2	Sp140
chr1	85649943	85649944	1	+	XM_006529283.3	Sp100
chr1	85751947	85751948	1	+	NR_106172.1	Mir8096
chr1	85775270	85775271	1	+	NR_108086.1	9930111H07Rik
chr1	85793407	85793408	1	+	XM_006529090.3	Cab39
chr1	85894285	85894286	1	+	XM_017321919.1	Itm2c
chr1	85914821	85914822	1	+	XR_387208.2	Gm32302
chr1	85928482	85928483	1	+	NR_037692.1	4933407L21Rik
chr1	85957112	85957113	1	+	XR_878331.1	Gm41905
chr1	86017840	86017841	1	+	XR_878326.2	Spata3
chr1	86045862	86045863	1	+	NM_001144993.1	2810459M11Rik
chr1	86064618	86064619	1	+	NM_027357.2	Psmd1
chr1	86154728	86154729	1	+	XM_006529960.3	Armc9
chr1	86303220	86303221	1	+	NM_145222.2	B3gnt7
chr1	86359573	86359574	1	+	NR_015507.2	C130036L24Rik
chr1	86426328	86426329	1	+	NM_027966.1	1700019O17Rik
chr1	86526735	86526736	1	+	NM_008972.2	Ptma
chr1	86582891	86582892	1	+	XM_006529625.3	Cops7b
chr1	86627067	86627068	1	+	XR_878337.1	Gm41908
chr1	86703778	86703779	1	+	XM_006529298.2	Dis3l2
chr1	87071418	87071419	1	+	XR_878339.1	Gm41910
chr1	87080170	87080171	1	+	XR_001779065.1	Gm29371
chr1	87125007	87125008	1	+	NM_007432.2	Akp3
chr1	87150915	87150916	1	+	XR_878347.2	Gm33292
chr1	87183101	87183102	1	+	XM_006529860.3	Prss56
chr1	87190596	87190597	1	+	NM_021600.3	Chrnd
chr1	87205810	87205811	1	+	NM_009604.3	Chrng
chr1	87213900	87213901	1	+	XM_006529674.3	Eif4e2
chr1	87264308	87264309	1	+	XR_387203.3	Efhd1
chr1	87326980	87326981	1	+	XM_006529469.1	Gigyf2
chr1	87470129	87470130	1	+	XM_006529895.3	3110079O15Rik
chr1	87550489	87550490	1	+	XR_001779070.1	LOC108167634
chr1	87574026	87574027	1	+	NM_001160164.1	Neu2
chr1	87620311	87620312	1	+	NR_122078.1	Inpp5d
chr1	87756005	87756006	1	+	XM_006529950.3	Atg16l1
chr1	87784570	87784571	1	+	NR_028519.2	Scarna6
chr1	87800166	87800167	1	+	XM_017319397.1	Sag
chr1	87853272	87853273	1	+	XM_006529471.2	Dgkd
chr1	88055410	88055411	1	+	NM_201641.2	Ugt1a10
chr1	88070778	88070779	1	+	NM_201644.2	Ugt1a9
chr1	88095000	88095001	1	+	NM_201642.4	Ugt1a7c
chr1	88103256	88103257	1	+	NM_201410.3	Ugt1a6b
chr1	88134808	88134809	1	+	NM_145079.3	Ugt1a6a
chr1	88166011	88166012	1	+	NM_201643.2	Ugt1a5
chr1	88200610	88200611	1	+	NM_013701.3	Ugt1a2
chr1	88211958	88211959	1	+	NM_201645.2	Ugt1a1
chr1	88226990	88226991	1	+	XM_006529044.3	Mroh2a
chr1	88306711	88306712	1	+	NM_134252.3	Trpm8
chr1	88406965	88406966	1	+	XM_006529918.3	Spp2
chr1	88460174	88460175	1	+	XR_387232.2	Gm28888
chr1	88551516	88551517	1	+	NR_037971.1	Gm19589
chr1	88754889	88754890	1	+	NR_040493.1	Platr5
chr1	89016112	89016113	1	+	NR_040471.1	1700067G17Rik
chr1	89070461	89070462	1	+	NM_133816.2	Sh3bp4
chr1	89387695	89387696	1	+	XR_878362.1	Gm41913
chr1	89454810	89454811	1	+	NM_001037136.1	Agap1
chr1	89566972	89566973	1	+	XR_878363.2	Gm28499
chr1	89930365	89930366	1	+	XM_006529982.2	LOC102637806
chr1	90004227	90004228	1	+	XR_878367.1	Gm34616
chr1	90153517	90153518	1	+	XR_878374.1	4930434B07Rik
chr1	90203979	90203980	1	+	NM_007722.4	Ackr3
chr1	90247264	90247265	1	+	XR_878380.1	Gm34930
chr1	90270710	90270711	1	+	XR_878377.1	LOC102638195
chr1	90337730	90337731	1	+	XR_878387.2	Gm34992
chr1	90506725	90506726	1	+	XR_878394.1	Gm35048
chr1	90582882	90582883	1	+	XR_387259.2	Gm35192
chr1	90603424	90603425	1	+	NM_133805.3	Cops8
chr1	90649077	90649078	1	+	XR_387261.2	Gm35242
chr1	90674465	90674466	1	+	XR_878398.1	Gm9991
chr1	90915022	90915023	1	+	XM_006529231.3	Mlph
chr1	90951255	90951256	1	+	XM_006529772.1	Prlh
